symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
5_8S_rRNA	0				
5S_rRNA	0.038652561	-0.001017292	0.274193287	0.98256985	
7SK	0.51703719	-0.019322355	0.273431763	0.67404218	
A1BG	595.0006409	-0.027497163	0.221786109	0.831400985	0.927915897
A1BG-AS1	391.7927094	-0.199175155	0.182067111	0.159719604	0.415848245
A1CF	0.08418878	0.011649238	0.274288081	0.880016398	
A2M	281.2406688	6.9173397	0.919416225	6.1939E-17	1.01879E-13
A2M-AS1	7.184133953	-0.16329667	0.312137804	0.14761194	0.398294456
A2ML1	0				
A2ML1-AS1	0				
A2ML1-AS2	0				
A2MP1	0				
A3GALT2	1.622247953	0.031418303	0.271941691	0.560409069	
A4GALT	170.6418691	1.066274842	1.195826375	0.006759249	0.059666398
A4GNT	0				
AA06	0				
AAAS	1355.570585	0.046459331	0.162502008	0.628656672	0.828554046
AACS	1524.810232	0.199854708	0.155494493	0.12780127	0.364378469
AACSP1	0.068965282	-0.001070959	0.274191848	0.98256985	
AADAC	0				
AADACL2	0				
AADACL2-AS1	0.038652561	-0.001017292	0.274193287	0.98256985	
AADACL3	0				
AADACL4	0				
AADACP1	0				
AADAT	409.0809111	-0.135507564	0.176316166	0.323449385	0.607477945
AAGAB	1446.93054	-0.677509947	0.243669132	0.00058902	0.010983878
AAK1	1659.721309	0.030993099	0.188170656	0.82175008	0.923620698
AAMDC	293.2685342	0.091471125	0.193901994	0.515719556	0.759191619
AAMP	3160.674632	0.085087523	0.127943498	0.452301676	0.71483149
AANAT	0.696515554	0.04297722	0.275793465	0.338441159	
AAR2	1524.690208	-0.131616379	0.105916838	0.175170309	0.437307842
AARD	23.84139445	-0.004924415	0.237213528	0.965062019	0.987393947
AARS1	6353.366723	-0.379527703	0.317620214	0.043932586	0.195698801
AARS1P1	0				
AARS2	657.22246	-0.077275131	0.161882765	0.554494063	0.784421753
AARSD1	855.8995368	-0.125756314	0.13277982	0.276881465	0.561154775
AARSD1P1	5.213040935	-0.311827467	0.496701423	0.034446956	0.167962949
AASDH	364.1506649	-0.087129239	0.113156782	0.393475866	0.668835338
AASDHPPT	978.2224605	-0.031463944	0.145937583	0.796924789	0.912487476
AASS	1316.594043	0.104013021	0.168540461	0.440297489	0.705920871
AATBC	0.456496475	0.005975076	0.272799148	0.959000894	
AATF	1441.258032	-0.074497437	0.115257241	0.474376312	0.730134096
AATK	14.8183993	0.161123304	0.311044597	0.147852349	0.398349669
ABALON	6.491255165	0.031733022	0.239341784	0.789999447	0.90950901
ABAT	276.6888493	-0.12536687	0.18585399	0.370487433	0.649669594
ABBA01000933.1	0				
ABBA01000935.2	0.045083047	-0.001006066	0.274192795	0.98256985	
ABBA01006766.1	0				
ABBA01045074.1	0				
ABBA01045074.2	0				
ABCA1	580.7744059	0.334029747	0.522123838	0.03292867	0.16285294
ABCA10	20.5673284	-0.119421488	0.256331691	0.35528336	0.635600739
ABCA11P	77.97346292	0.194138774	0.248709064	0.204933275	0.477722401
ABCA12	3.667581756	0.009048445	0.264502653	0.895613412	0.956684572
ABCA13	304.2195567	5.128472531	0.963227831	3.61299E-09	9.14271E-07
ABCA17P	1.033246276	0.023518498	0.270930848	0.637691609	
ABCA2	3114.642394	0.621335297	0.309595789	0.005322903	0.050734697
ABCA3	27.30191726	0.074899606	0.256943314	0.505059968	0.751573707
ABCA4	7.342500425	-0.107009147	0.284672623	0.237707909	0.516449765
ABCA5	479.3504362	-0.317608466	0.254395385	0.06241403	0.240001583
ABCA6	146.8459324	1.786329836	0.820858826	0.000924109	0.015174756
ABCA7	247.0151818	0.129569252	0.270824827	0.305957712	0.591420363
ABCA8	68.59489838	-0.377875715	0.581027765	0.027193987	0.144834028
ABCA9	27.57512545	-0.081383438	0.275767708	0.316690754	0.601589791
ABCA9-AS1	0.423099879	-0.016789988	0.273221686	0.743380433	
ABCB1	6.47933982	-0.065845467	0.275091211	0.346430551	0.628189822
ABCB10	573.9195402	-0.0495592	0.13694463	0.675018519	0.853797855
ABCB10P1	0				
ABCB10P3	0.070671829	-0.010646247	0.274241059	0.914590283	
ABCB10P4	0				
ABCB11	1.067383617	0.00264828	0.273280773	0.938243659	
ABCB4	10.52939368	0.287392376	0.456151517	0.039315906	0.183066137
ABCB5	0.048476503	-0.001032093	0.274192702	0.98256985	
ABCB6	1384.747915	0.269989778	0.239656559	0.09613069	0.310138535
ABCB7	598.2398566	0.085908483	0.169922479	0.53486819	0.771458194
ABCB8	1149.227891	-0.252848275	0.241465844	0.11555845	0.343540205
ABCB9	331.9696791	-0.619019361	0.282632021	0.00317215	0.036029073
ABCC1	2632.142137	-0.049497489	0.15686181	0.698930316	0.86557167
ABCC10	1051.574657	0.071331133	0.176220897	0.60275781	0.813639091
ABCC11	4.867335122	0.022344477	0.257269784	0.805914149	0.916038229
ABCC12	1.221100919	0.13393712	0.318372815	0.018961551	
ABCC13	0				
ABCC2	64.79356624	0.225658243	0.381291054	0.057294369	0.228943863
ABCC3	2632.38469	1.144516019	0.616108231	0.002455589	0.03006726
ABCC4	2254.919142	0.266327403	0.215116427	0.088783539	0.295615637
ABCC5	850.5946361	-0.257331656	0.215599981	0.098179506	0.314129858
ABCC5-AS1	0				
ABCC6	30.72116438	-0.311338458	0.352902578	0.073183504	0.262635636
ABCC6P1	18.75782936	-0.04591376	0.244816395	0.690786641	0.86160699
ABCC6P2	9.890201141	-0.220204281	0.315128898	0.138411287	0.382306464
ABCC8	0.177133902	-0.01321637	0.274461596	0.804928464	
ABCC9	15.11545094	1.629229669	0.849928559	0.001591901	0.021957331
ABCD1	524.8541835	-0.07314384	0.136295988	0.534664774	0.771320956
ABCD1P2	0.08418878	0.011649238	0.274288081	0.880016398	
ABCD1P3	0				
ABCD1P4	0				
ABCD1P5	0				
ABCD2	1.037917653	-0.023591853	0.271061937	0.640042182	
ABCD3	1152.789165	-0.316766243	0.150107913	0.013892749	0.095345994
ABCD4	903.3858056	-0.220678209	0.142367744	0.07152336	0.259508839
ABCE1	2566.17563	-0.114266643	0.170897652	0.396651976	0.671566024
ABCF1	3166.387579	-0.115924267	0.164780455	0.371298311	0.65045585
ABCF2	1708.254806	-0.203366907	0.203580879	0.170922347	0.431580567
ABCF2-H2BE1	581.5649315	-0.104098951	0.188044335	0.453990962	0.715850135
ABCF2P1	0.265098809	0.002226338	0.273178973	0.976936555	
ABCF2P2	0				
ABCF3	1694.997853	0.044206786	0.131321558	0.702323712	0.866790727
ABCG1	4.490530949	-0.001406945	0.274177183		
ABCG2	14.74966826	-0.133896755	0.291836336	0.207855716	0.481242834
ABCG4	93.20980906	-0.041869325	0.214338891	0.75567018	0.894477842
ABCG5	0				
ABCG8	0.068965282	-0.001070959	0.274191848	0.98256985	
ABHD1	5.229566796	-0.038389854	0.252881481	0.706056933	0.868397622
ABHD10	666.7658406	-0.19904725	0.165333846	0.139511714	0.384485091
ABHD11	238.4432595	0.013738671	0.172309584	0.907195596	0.961995608
ABHD11-AS1	7.827160416	-0.055770231	0.266600494	0.516924052	0.759684853
ABHD12	1570.795103	0.298995748	0.18950979	0.04482331	0.197968783
ABHD12B	7.41687172	-0.09954985	0.2887623	0.194930135	0.464509357
ABHD13	586.5340384	-0.393801753	0.137567631	0.001328291	0.019334664
ABHD14A	299.9919665	-0.377665096	0.184571489	0.011821436	0.08568913
ABHD14A-ACY1	27.92726257	-0.205163629	0.333200985	0.116947347	0.345503178
ABHD14B	1338.662703	-0.021100844	0.171457257	0.852926043	0.937833783
ABHD15	450.1019319	-0.277415542	0.180063225	0.055101202	0.223232251
ABHD15-AS1	0				
ABHD16A	847.6040822	-0.526653348	0.170719077	0.000368088	0.007837452
ABHD16B	1.205402135	0.00720966	0.266199105	0.910164776	
ABHD17A	3130.478213	-0.020376321	0.17044382	0.815797728	0.920700384
ABHD17AP1	0.348850963	-0.007712872	0.272305999	0.875810785	
ABHD17AP3	0.31824361	-0.002715992	0.2732752	0.895428748	
ABHD17AP4	0.762449844	0.003065766	0.271668252	0.937318115	
ABHD17AP5	0.988153454	-0.065265879	0.279959597	0.245802239	
ABHD17AP6	0.188696155	-0.013626686	0.274502418	0.734807674	
ABHD17AP7	0				
ABHD17AP8	0				
ABHD17AP9	0				
ABHD17B	417.6728178	0.218206361	0.206056633	0.147926063	0.39840855
ABHD17C	718.7679937	1.101277057	0.51619307	0.00145896	0.020822089
ABHD18	229.5637242	0.054546775	0.11765966	0.608159593	0.816748844
ABHD2	8754.056888	1.690162053	0.389415917	7.61648E-07	6.37009E-05
ABHD3	132.6174868	-0.014577843	0.183861013	0.914866664	0.965081407
ABHD4	1955.289723	-0.082966577	0.22552732	0.569582638	0.794321576
ABHD5	745.8818949	0.073011044	0.191797494	0.603858376	0.814167317
ABHD6	257.0182994	0.147041579	0.161430152	0.267631683	0.55020458
ABHD8	620.8499339	0.32191905	0.240338059	0.055671316	0.224665801
ABI1	1518.696423	-0.073329626	0.115751854	0.482532301	0.736328393
ABI1P1	0				
ABI2	2020.725146	-0.004526201	0.141544786	0.946507875	0.979098183
ABI3	45.64504269	0.144835154	0.314880528	0.104856483	0.325930278
ABI3BP	889.528241	-0.750339626	0.624151171	0.009701517	0.075537883
ABITRAM	334.8092364	-0.318210542	0.162147301	0.018773873	0.115236762
ABITRAMP1	0				
ABL1	5990.896124	-0.021178821	0.122332714	0.845061841	0.934240036
ABL2	2487.353966	0.097621883	0.24438247	0.461732492	0.720847577
ABLIM1	51.20608807	-0.064343032	0.246189482	0.587359898	0.804755635
ABLIM2	7.458262865	2.737636484	0.812027464	6.09008E-05	0.002066392
ABLIM3	2449.355846	0.008846086	0.228003482	0.9406384	0.976249908
ABO	0				
ABR	4577.426394	0.174920225	0.174325298	0.205789919	0.478656779
ABRA	0				
ABRACL	475.3469939	-0.096675726	0.171745032	0.478875384	0.733797246
ABRAXAS1	668.403472	-0.231255295	0.207571555	0.126945463	0.362717074
ABRAXAS2	614.9226153	-0.250986486	0.095433647	0.004894704	0.048161351
ABT1	824.4416223	-0.062827666	0.134570473	0.583387982	0.802153396
ABT1P1	0.098010586	-0.010126793	0.274206426	0.914458567	
ABTB1	1372.391815	0.6492756	0.497194772	0.012208527	0.087509518
ABTB2	327.9618232	0.040145377	0.192354107	0.774868089	0.903974605
AC000032.1	0.146999807	-0.012774503	0.274412326	0.814914757	
AC000035.1	0.066226844	-0.001045834	0.274191828	0.982569854	
AC000036.1	0.067604912	0.01108365	0.274244909	0.880016398	
AC000041.1	0				
AC000050.1	0				
AC000058.1	0.12893905	0.010893519	0.274242108	0.880456706	
AC000061.1	0				
AC000065.1	0				
AC000065.2	0.619156393	-0.010596771	0.271722762	0.717725057	
AC000067.1	0.070671829	-0.010646247	0.274241059	0.914590283	
AC000068.1	5.388019702	-0.065614148	0.265884418	0.48257899	0.736328393
AC000068.2	0.557380702	-0.05532899	0.280610213	0.283405354	
AC000068.3	0.966142833	-0.04784025	0.275175098	0.37345083	
AC000072.1	0.681452909	-0.037951727	0.273768327	0.471548244	
AC000077.1	0				
AC000078.1	2.129213506	0.06403687	0.273282005	0.404531326	0.678965929
AC000081.1	0				
AC000081.2	0				
AC000082.1	0				
AC000085.1	12.3782668	1.647084667	0.783384748	0.001169612	0.017799384
AC000089.1	5.507439633	-0.160569566	0.288890302	0.21854625	0.495102686
AC000093.1	928.7291304	0.520577657	0.356275579	0.01664733	0.106757279
AC000095.1	0.697519886	-0.018766287	0.27441299	0.859188566	
AC000095.2	0				
AC000111.1	0				
AC000111.2	0				
AC000113.1	0				
AC000120.1	2.748357245	-0.105831853	0.287665903	0.221657929	0.498983143
AC000120.2	0.39977243	-0.013272143	0.273825224	0.809129959	
AC000120.3	22.88946834	0.01947208	0.271161032	0.68508464	0.85877052
AC000123.1	0				
AC000123.2	7.520691016	0.113929436	0.267166247	0.348059048	0.629581148
AC000123.3	53.34750376	0.001002194	0.215712608	0.995354802	0.997696281
AC000124.1	0				
AC000362.1	0				
AC000367.1	0				
AC000372.1	0				
AC000374.1	0				
AC000403.1	20.02616296	-0.053777587	0.215052966	0.692335119	0.862022477
AC001226.1	0.414895656	-0.000428913	0.270816154	0.990642596	
AC001226.2	10.15194675	0.076346779	0.252702161	0.515018512	0.758757667
AC002044.1	0				
AC002044.2	0.772361886	0.028546395	0.272870091	0.544642874	
AC002044.3	0.209728204	-0.010091854	0.274204451	0.91418619	
AC002056.1	0.094014455	-0.001094739	0.27419039	0.982570565	
AC002056.2	0				
AC002057.1	0				
AC002057.2	0				
AC002059.1	0.430819409	-0.036926819	0.276687437	0.501244437	
AC002059.2	0.68402107	0.009997322	0.272158804	0.780530038	
AC002059.3	0.198060256	0.009710949	0.274148154	0.877676786	
AC002064.1	1.092308715	-0.000660148	0.269397757	0.994747191	
AC002064.2	0				
AC002064.3	0				
AC002066.1	6.078429934	0.028039226	0.25631343	0.769000642	0.901475156
AC002069.1	0				
AC002069.2	0				
AC002069.3	0				
AC002069.4	0				
AC002070.1	1.08894357	0.036531591	0.273249769	0.482572557	
AC002072.1	0				
AC002074.1	20.39288876	-0.094923393	0.261436773	0.410577859	0.684747426
AC002074.2	1.419223861	-0.032013444	0.267325079	0.641816227	
AC002075.1	0				
