symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
5_8S_rRNA	0				
5S_rRNA	0.038652561	0.026466848	0.462590564	0.95367378	
7SK	0.51703719	0.032463197	0.453379198	0.746267762	
A1BG	595.0006409	-0.628372377	0.370329022	0.023890864	0.084092966
A1BG-AS1	391.7927094	-0.235274703	0.191147063	0.173348659	0.342824898
A1CF	0.08418878	-0.003513422	0.46286067	0.94339197	
A2M	281.2406688	6.080231589	0.924171565	1.19295E-13	5.30171E-11
A2M-AS1	7.184133953	-0.04318365	0.368916813	0.844439199	0.915891274
A2ML1	0				
A2ML1-AS1	0				
A2ML1-AS2	0				
A2MP1	0				
A3GALT2	1.622247953	0.467649171	0.80102759	0.029600116	0.098141478
A4GALT	170.6418691	2.354661593	0.760801621	8.95378E-05	0.001169676
A4GNT	0				
AA06	0				
AAAS	1355.570585	-0.333304512	0.191793089	0.051807715	0.147422106
AACS	1524.810232	0.049662051	0.158320786	0.738111043	0.853453657
AACSP1	0.068965282	0.030983705	0.463053823	0.95367378	
AADAC	0				
AADACL2	0				
AADACL2-AS1	0.038652561	0.026466848	0.462590564	0.95367378	
AADACL3	0				
AADACL4	0				
AADACP1	0				
AADAT	409.0809111	0.038879533	0.1898669	0.824093314	0.903809699
AAGAB	1446.93054	-0.576208669	0.23004563	0.004552074	0.024505455
AAK1	1659.721309	-0.017423194	0.224082278	0.928957659	0.963695992
AAMDC	293.2685342	-0.565064366	0.252928813	0.009488694	0.042535457
AAMP	3160.674632	0.08953419	0.13602379	0.492450303	0.672484468
AANAT	0.696515554	0.03839917	0.451575636	0.809322171	
AAR2	1524.690208	-0.020473006	0.108547	0.856130465	0.922826828
AARD	23.84139445	0.092741876	0.333281875	0.694211437	0.823338617
AARS1	6353.366723	0.034215786	0.262835314	0.847482776	0.917535249
AARS1P1	0				
AARS2	657.22246	-0.47119164	0.191468155	0.00679603	0.033066474
AARSD1	855.8995368	-0.534944043	0.145173099	0.000102574	0.001297202
AARSD1P1	5.213040935	-0.367251137	0.472292858	0.159917255	0.324073441
AASDH	364.1506649	-0.345815972	0.120401397	0.002863275	0.017209854
AASDHPPT	978.2224605	-0.060249716	0.161037552	0.688445961	0.819606627
AASS	1316.594043	-0.132541911	0.187207312	0.416325568	0.606672093
AATBC	0.456496475	0.003260691	0.456708121	0.860436353	
AATF	1441.258032	-0.281791114	0.122915221	0.016899929	0.065361008
AATK	14.8183993	-0.168263539	0.40300526	0.45202698	0.63839402
ABALON	6.491255165	0.080947073	0.330686898	0.729170057	0.847425456
ABAT	276.6888493	-0.079766992	0.204729745	0.662494946	0.801429783
ABBA01000933.1	0				
ABBA01000935.2	0.045083047	0.027660101	0.462698979	0.95367378	
ABBA01006766.1	0				
ABBA01045074.1	0				
